'CVEO Extremely bearish one',0
'FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp',1
'CUR BCLI looking like juicy buy going Monday',1
'UGAZ httpstkscodRC',1
'TWTR Happy New Years all',1
'VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it',1
'Its time year Top Picks WEFca PHMca amp DAPuca',1
'FB ER beat good guidance earnings beat bad guidance',1
'GPRE Anyone catch K Mar C block trade M value',1
'Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well',1
'UGAZ Reversal isnt even close yet Ill let know',0
'WHZ Hoping stays low I put IRA come',1
'CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy',1
'FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell',1
'UGAZ If think going week idiot',0
'UGAZ Still longs way go reversal',0
'FB million volume today heavy selling held level Gekko Trade show going Bounce next week',1
'AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money',1
'PAL Have A Happy Healthy Wealthy Green New Year including TAR',1
'Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy',1
'UGAZ Should open ',0
'AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play',1
'FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun',1
'GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks',1
'GRPN Happy trails Im good sides fence THAT investortrader fence',1
'FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats',1
'Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV',1
'SPY DIA COMPQ best luck traders',1
'UWTI In Gas Station Spring drink water G gasoline G',1
'stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD',1
'ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day',1
'SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY',1
'UVXY Buy puts',0
'quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k',1
'article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry',1
'IBIO amp MNGA close penny other What going on',1
'VIPS Property overhanging In China benefit money flow stocks according David fast money',1
'WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ',1
'Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz',1
'AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks',1
'Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD',1
'Swing Sell Picks FMCA PCA REN httpstkscogVZ',0
'WFM holding Jan putsOI around k',0
'THM Feel good picked couple thousand shares day',1
'CVEO This going crash Friday',0
'KNDI The reason KNDI big China Happy New Year httpstkscodRZ',1
'UGAZ Look lead storyhttpstkscoeRGL',1
'ARWR INO IDRA One stocks gain least x Your bet Best luck happy new year everyone',1
'StupidGains Hephaestus How think Jefferson marches likes born people clamor GLUU sale happen',1
'USDJPY BEARISH NAT PATTERNQ httpstkscoeRGQ httpstkscobRAA',0
'AAPL So everyone ur money ready Friday BTFD LOAD UPPP',1
'PLUG analyst ratings last days Median target upside View here httpstkscobRAB',1
'quotEuphoria RSH headed home new robot trunk RadioShack quot Stay robot amp forget pain RSH rest life',0
'Gbones Ur Great Trader amp solidify it UGAZ Timeframe powder flexible Well bank hard Bones',1
'GCF GLD GDX GDXJ In opinion gold sitting long lower support A move imminent httpstkscofVBH',0
